,COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate
13,Australia,JAN2010,January 2010,2010,1,January,Final consumption,19317.931,20,220091.029
18,Australia,JAN2010,January 2010,2010,1,January,Low carbon,1665.783,26,24610.86
21,Austria,JAN2010,January 2010,2010,1,January,Wind,200.966,2,1961.814
81,Canada,JAN2010,January 2010,2010,1,January,Not specified,248.0,13,2976.0
91,Canada,JAN2010,January 2010,2010,1,January,Non-renewables,20850.285,23,218831.866
122,Czech Republic,JAN2010,January 2010,2010,1,January,Oil,20.072,9,176.959
128,Czech Republic,JAN2010,January 2010,2010,1,January,Total imports,597.964,15,6642.0
153,Denmark,JAN2010,January 2010,2010,1,January,Electricity supplied,3518.026,17,35736.999
239,Germany,JAN2010,January 2010,2010,1,January,Coal,25193.476,8,253690.859
247,Germany,JAN2010,January 2010,2010,1,January,Total exports,6153.18,16,57916.999
258,Germany,JAN2010,January 2010,2010,1,January,Fossil fuels,35748.159,27,353461.038
574,New Zealand,JAN2010,January 2010,2010,1,January,Final consumption,3152.632,20,40344.719
649,OECD Asia Oceania,JAN2010,January 2010,2010,1,January,Distribution losses,7791.715,19,85432.122
653,OECD Asia Oceania,JAN2010,January 2010,2010,1,January,Non-renewables,153679.381,23,1691557.644
682,OECD Europe,JAN2010,January 2010,2010,1,January,Other renewables aggregated,11594.531,25,128794.887
732,Poland,JAN2010,January 2010,2010,1,January,Non-renewables,12685.654,23,132615.024
763,Republic of Turkiye,JAN2010,January 2010,2010,1,January,Hydro,4186.449,1,51423.001
779,Republic of Turkiye,JAN2010,January 2010,2010,1,January,Electricity supplied,16765.652,17,202272.001
829,Slovenia,JAN2010,January 2010,2010,1,January,Electricity supplied,1183.106,17,13289.858
858,Spain,JAN2010,January 2010,2010,1,January,Electricity trade,299.587,21,8333.0
860,Spain,JAN2010,January 2010,2010,1,January,Non-renewables,16269.286,23,192068.897
